feature,importance,rank
numeric__number_inpatient,0.05236566,1
categorical__discharge_disposition_id_1,0.047909528,2
categorical__discharge_disposition_id_5,0.027833585,3
numeric__number_emergency,0.012451142,4
categorical__discharge_disposition_id_22,0.011658298,5
categorical__discharge_disposition_id_15,0.011626813,6
categorical__diag_1_group_Musculoskeletal,0.011015472,7
categorical__diag_2_group_Neoplasms,0.010371447,8
categorical__discharge_disposition_id_4,0.010336025,9
categorical__diabetesMed_Yes,0.009968553,10
categorical__discharge_disposition_id_6,0.009494825,11
categorical__diabetesMed_No,0.009294784,12
categorical__discharge_disposition_id_23,0.009273956,13
categorical__discharge_disposition_id_9,0.009136467,14
categorical__age_[50-60),0.008920836,15
numeric__number_diagnoses,0.0087688295,16
categorical__diag_1_group_Other,0.0087593645,17
categorical__diag_1_group_Respiratory,0.008752596,18
categorical__medical_specialty_group_Orthopedics-Reconstructive,0.008707599,19
categorical__discharge_disposition_id_2,0.008678091,20
categorical__diag_1_group_Circulatory,0.008581752,21
categorical__medical_specialty_group_Cardiology,0.008456675,22
categorical__diag_3_group_Genitourinary,0.008119051,23
categorical__max_glu_serum_Norm,0.008004066,24
categorical__glipizide_Up,0.007973351,25
categorical__medical_specialty_group_Orthopedics,0.007933721,26
categorical__age_[90-100),0.007809781,27
categorical__A1Cresult_Norm,0.007805282,28
categorical__diag_1_group_Genitourinary,0.0078004096,29
categorical__discharge_disposition_id_8,0.007800132,30
categorical__age_[30-40),0.007539852,31
categorical__medical_specialty_group_Surgery-General,0.007525135,32
categorical__diag_3_group_Neoplasms,0.00752187,33
categorical__admission_source_group_Emergency Room,0.007496351,34
categorical__rosiglitazone_Steady,0.007423053,35
categorical__medical_specialty_group_Surgery-Vascular,0.0073605315,36
categorical__medical_specialty_group_ObstetricsandGynecology,0.0073264637,37
categorical__metformin_Steady,0.0072997436,38
categorical__pioglitazone_No,0.0072196885,39
numeric__time_in_hospital,0.007122962,40
categorical__medical_specialty_group_Surgery-Cardiovascular/Thoracic,0.007021709,41
categorical__race_Asian,0.0069905436,42
categorical__discharge_disposition_id_3,0.006985391,43
categorical__glimepiride_Steady,0.0069546783,44
categorical__admission_type_group_Elective,0.0069359955,45
categorical__glipizide_Steady,0.0069190282,46
categorical__race_Hispanic,0.0069132475,47
categorical__metformin_No,0.0069024153,48
categorical__diag_3_group_Diabetes,0.006858437,49
categorical__glimepiride_No,0.0068216883,50
categorical__medical_specialty_group_Urology,0.006810114,51
categorical__insulin_Down,0.0067990804,52
categorical__diag_3_group_Respiratory,0.0067700483,53
categorical__diag_1_group_Diabetes,0.0067474106,54
categorical__admission_source_group_Unknown,0.006669406,55
categorical__admission_type_group_Urgent,0.0066442615,56
categorical__diag_2_group_Respiratory,0.0066198115,57
categorical__diag_3_group_Musculoskeletal,0.0065706153,58
categorical__A1Cresult_Unknown,0.00654306,59
categorical__nateglinide_No,0.0065179067,60
categorical__diag_2_group_Genitourinary,0.0064899027,61
categorical__medical_specialty_group_Emergency/Trauma,0.006489769,62
categorical__discharge_disposition_id_18,0.006461818,63
categorical__medical_specialty_group_Other,0.00645453,64
categorical__A1Cresult_>7,0.006424721,65
categorical__admission_type_group_Unknown,0.0063918885,66
categorical__diag_2_group_Circulatory,0.0063811066,67
categorical__diag_1_group_Injury,0.006331263,68
categorical__gender_Male,0.006303571,69
categorical__diag_2_group_Digestive,0.006294959,70
categorical__race_Unknown,0.0062071756,71
categorical__glipizide_Down,0.006202724,72
numeric__num_lab_procedures,0.006165904,73
categorical__medical_specialty_group_Family/GeneralPractice,0.006139301,74
categorical__age_[20-30),0.0061308406,75
categorical__age_[70-80),0.0061108936,76
categorical__insulin_Up,0.006052207,77
categorical__age_[80-90),0.0060372804,78
categorical__race_AfricanAmerican,0.006035689,79
numeric__number_outpatient,0.0060171615,80
numeric__num_procedures,0.0060136765,81
categorical__medical_specialty_group_Radiologist,0.006005802,82
categorical__age_[60-70),0.0059904614,83
categorical__glyburide_Steady,0.0059701786,84
categorical__medical_specialty_group_InternalMedicine,0.005965247,85
categorical__metformin_Down,0.005945169,86
categorical__diag_3_group_Digestive,0.005872633,87
categorical__pioglitazone_Steady,0.005854024,88
categorical__A1Cresult_>8,0.0058316514,89
categorical__rosiglitazone_No,0.0058148145,90
categorical__diag_2_group_Diabetes,0.0058099576,91
categorical__glyburide_Down,0.005792306,92
categorical__medical_specialty_group_Nephrology,0.0057889353,93
categorical__diag_1_group_Neoplasms,0.0057604983,94
categorical__max_glu_serum_Unknown,0.0057508745,95
numeric__num_medications,0.0057461727,96
categorical__glyburide_No,0.0056766095,97
categorical__diag_3_group_Circulatory,0.005620236,98
categorical__glyburide_Up,0.0056043575,99
categorical__medical_specialty_group_Pulmonology,0.0055404236,100
categorical__glipizide_No,0.005516371,101
categorical__diag_2_group_Musculoskeletal,0.005430385,102
categorical__admission_source_group_Transfer,0.0053152745,103
categorical__discharge_disposition_id_24,0.005304939,104
categorical__age_[10-20),0.0052825697,105
categorical__diag_3_group_Other,0.0052556205,106
categorical__race_Caucasian,0.005180598,107
categorical__age_[40-50),0.005162872,108
categorical__repaglinide_No,0.0051542134,109
categorical__diag_1_group_Digestive,0.005094006,110
categorical__insulin_No,0.0050721928,111
categorical__diag_3_group_Injury,0.0050330637,112
categorical__admission_source_group_Referral,0.0050270665,113
categorical__gender_Female,0.0049746986,114
categorical__metformin_Up,0.004941463,115
categorical__medical_specialty_group_Unknown,0.004869546,116
categorical__admission_type_group_Emergency,0.0048677884,117
categorical__diag_2_group_Injury,0.0048238114,118
categorical__race_Other,0.0048153102,119
categorical__diag_2_group_Other,0.004739212,120
categorical__acarbose_No,0.0047346256,121
categorical__glyburide-metformin_No,0.0045956313,122
categorical__max_glu_serum_>300,0.0045668893,123
categorical__change_Ch,0.0045372625,124
categorical__medical_specialty_group_Psychiatry,0.0044909115,125
categorical__insulin_Steady,0.0043176278,126
categorical__medical_specialty_group_Gastroenterology,0.004311804,127
categorical__diag_3_group_Unknown,0.004305501,128
categorical__change_No,0.004300548,129
categorical__repaglinide_Steady,0.004225479,130
categorical__acarbose_Steady,0.0042044893,131
categorical__nateglinide_Steady,0.0040448667,132
categorical__max_glu_serum_>200,0.0040005986,133
categorical__pioglitazone_Down,0.0035194175,134
categorical__rosiglitazone_Up,0.0034939367,135
categorical__glimepiride_Up,0.003142275,136
categorical__repaglinide_Up,0.002517065,137
categorical__pioglitazone_Up,0.0019147538,138
categorical__age_[0-10),0.0,139
categorical__discharge_disposition_id_infrequent_sklearn,0.0,140
categorical__discharge_disposition_id_28,0.0,141
categorical__discharge_disposition_id_25,0.0,142
categorical__discharge_disposition_id_7,0.0,143
categorical__gender_infrequent_sklearn,0.0,144
categorical__acetohexamide_infrequent_sklearn,0.0,145
categorical__tolbutamide_No,0.0,146
categorical__tolbutamide_Steady,0.0,147
categorical__metformin-rosiglitazone_infrequent_sklearn,0.0,148
categorical__metformin-rosiglitazone_No,0.0,149
categorical__glimepiride-pioglitazone_infrequent_sklearn,0.0,150
categorical__glimepiride-pioglitazone_No,0.0,151
categorical__glipizide-metformin_Steady,0.0,152
categorical__glipizide-metformin_No,0.0,153
categorical__glyburide-metformin_infrequent_sklearn,0.0,154
categorical__glyburide-metformin_Steady,0.0,155
categorical__tolazamide_Steady,0.0,156
categorical__tolazamide_No,0.0,157
categorical__tolazamide_infrequent_sklearn,0.0,158
categorical__miglitol_No,0.0,159
categorical__miglitol_Steady,0.0,160
categorical__miglitol_infrequent_sklearn,0.0,161
categorical__troglitazone_No,0.0,162
categorical__troglitazone_infrequent_sklearn,0.0,163
categorical__rosiglitazone_Down,0.0,164
categorical__acarbose_infrequent_sklearn,0.0,165
categorical__chlorpropamide_No,0.0,166
categorical__glimepiride_Down,0.0,167
categorical__acetohexamide_No,0.0,168
categorical__repaglinide_Down,0.0,169
categorical__nateglinide_Up,0.0,170
categorical__nateglinide_infrequent_sklearn,0.0,171
categorical__chlorpropamide_infrequent_sklearn,0.0,172
categorical__chlorpropamide_Steady,0.0,173
categorical__diag_1_group_Unknown,0.0,174
categorical__admission_type_group_Other,0.0,175
categorical__metformin-pioglitazone_infrequent_sklearn,0.0,176
categorical__metformin-pioglitazone_No,0.0,177
categorical__admission_source_group_infrequent_sklearn,0.0,178
categorical__diag_2_group_Unknown,0.0,179
